periodo;regiao;instituicao;urgencias_gerais;urgencias_pediatricas;urgencias_obstetricas;urgencias_psiquiatricas;total_urgencias
2025-02-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;13655;3084;591;0;17330
2025-02-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;22122;6881;1809;0;30812
2025-02-01;Região de Saúde Centro;Unidade Local de Saúde de Dão-Lafões;21157;5306;2194;0;28657
2025-02-01;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho;21729;6498;1220;0;29447
2025-02-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;15658;3525;681;0;19864
2025-02-01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo;18899;5223;556;0;24678
2024-03-01;Região de Saúde Centro;Unidade Local de Saúde da Cova da Beira;11647;4289;953;74;16963
2024-03-01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria;18388;7862;1802;0;28052
2024-03-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Leiria;30274;7891;2350;0;40515
2024-03-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;36308;13096;2813;0;52217
2024-03-01;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental;21153;8049;3457;0;32659
2024-03-01;Região de Saúde Norte;Unidade Local de Saúde de São João;40363;20793;3022;0;64178
2024-03-01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro;44658;8364;1411;0;54433
2024-03-01;Região de Saúde Algarve;Unidade Local de Saúde do Algarve;65478;18015;4494;0;87987
2024-03-01;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho;28286;5646;1801;0;35733
2024-03-01;Região de Saúde Centro;Unidade Local de Saúde do Baixo Mondego;12232;5344;0;0;17576
2024-03-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;23945;0;0;0;23945
2024-03-01;Região de Saúde LVT;Unidade Local de Saúde do Oeste;28566;12984;1414;0;42964
2024-04-01;Região de Saúde LVT;Hospital de Cascais;26761;16395;5315;294;48765
2024-04-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;23064;0;0;0;23064
2024-04-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Aveiro;40361;16349;1955;0;58665
2024-04-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;26926;0;2786;0;29712
2024-04-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alentejo Central;14785;6160;0;0;20945
2024-04-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alto Alentejo;25900;3085;859;0;29844
2024-04-01;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho;38399;7523;2331;0;48253
2024-04-01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo;37561;9435;1261;0;48257
2024-04-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;34204;0;0;0;34204
2024-05-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;33512;7294;1598;0;42404
2024-05-01;Região de Saúde Centro;Unidade Local de Saúde de Dão-Lafões;46642;14875;6012;0;67529
2024-05-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;70714;14457;3082;0;88253
2024-05-01;Região de Saúde Norte;Unidade Local de Saúde de São João;70504;36485;5263;0;112252
2024-05-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alentejo Central;18971;8208;0;0;27179
2024-05-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;40172;8382;1647;0;50201
2024-05-01;Região de Saúde Centro;Unidade Local de Saúde do Baixo Mondego;21086;9144;0;0;30230
2024-05-01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo;48334;12128;1677;0;62139
2024-05-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;43794;0;0;0;43794
2024-06-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;34415;0;0;0;34415
2024-06-01;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra;90883;26412;8782;0;126077
2024-06-01;Região de Saúde Centro;Unidade Local de Saúde de Coimbra;100819;36220;11508;0;148547
2024-06-01;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas;36087;13652;7744;0;57483
2024-06-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alentejo Central;22841;9870;0;0;32711
2024-06-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;70608;11537;3410;0;85555
2024-06-01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo;58821;14510;2040;0;75371
2024-06-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;52686;0;0;0;52686
2024-07-01;Região de Saúde LVT;Unidade Local de Saúde da Arrábida;42557;18640;4361;0;65558
2024-07-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;47919;9885;2337;0;60141
2024-07-01;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal;53798;23340;8734;0;85872
2024-07-01;Região de Saúde Centro;Unidade Local de Saúde de Coimbra;118476;41108;13569;0;173153
2024-07-01;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas;42200;15150;8988;0;66338
2024-07-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;48603;0;5138;0;53741
2024-07-01;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo;48384;28570;4410;0;81364
2024-07-01;Região de Saúde LVT;Unidade Local de Saúde do Oeste;69817;30561;3809;0;104187
2024-08-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Leiria;82828;17282;5735;0;105845
2024-08-01;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra;121484;33416;12060;0;166960
2024-08-01;Região de Saúde Algarve;Unidade Local de Saúde do Algarve;198771;50191;11112;0;260074
2024-08-01;Região de Saúde Centro;Unidade Local de Saúde do Baixo Mondego;35019;13606;0;0;48625
2024-08-01;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo;55169;31189;5274;0;91632
2024-08-01;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa;107106;25056;8637;0;140799
2024-09-01;Região de Saúde Centro;Unidade Local de Saúde Castelo Branco;40605;12479;1756;0;54840
2024-09-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;50192;0;0;0;50192
2024-09-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Aveiro;93569;34171;4853;0;132593
2024-09-01;Região de Saúde Centro;Unidade Local de Saúde de Coimbra;151903;50544;17747;0;220194
2024-09-01;Região de Saúde Centro;Unidade Local de Saúde de Dão-Lafões;85912;22062;11186;0;119160
2024-09-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;121505;21949;5431;0;148885
2024-09-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;62107;0;6720;0;68827
2024-09-01;Região de Saúde Norte;Unidade Local de Saúde de Santo António;95575;0;15213;0;110788
2024-09-01;Região de Saúde Norte;Unidade Local de Saúde de São João;129103;59588;9593;0;198284
2024-09-01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro;148404;23388;4087;0;175879
2024-10-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;55896;0;0;0;55896
2024-10-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Leiria;103136;20845;7082;0;131063
2024-10-01;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental;75557;24995;10300;0;110852
2024-10-01;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas;59776;20356;12156;0;92288
2024-10-01;Região de Saúde Norte;Unidade Local de Saúde de São João;143801;66840;10680;0;221321
2024-10-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;88267;0;0;0;88267
2024-11-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;61871;0;0;0;61871
2024-11-01;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra;167352;47021;17013;0;231386
2024-11-01;Região de Saúde Centro;Unidade Local de Saúde de Dão-Lafões;106828;26610;13644;0;147082
2024-11-01;Região de Saúde LVT;Unidade Local de Saúde de São José;126281;76003;22631;5788;230703
2024-11-01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro;179363;28727;4944;0;213034
2024-11-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;86189;16996;3854;0;107039
2024-11-01;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa;149349;33259;11731;0;194339
2024-12-01;Região de Saúde Centro;Unidade Local de Saúde da Cova da Beira;49632;17230;3952;451;71265
2024-12-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;67746;0;0;0;67746
2024-12-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Leiria;122168;24684;8280;0;155132
2024-12-01;Região de Saúde LVT;Unidade Local de Saúde de Amadora/Sintra;181997;52557;18521;0;253075
2024-12-01;Região de Saúde Centro;Unidade Local de Saúde de Coimbra;200563;67895;23479;0;291937
2024-12-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;142935;21525;6854;0;171314
2024-12-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;102955;0;0;0;102955
2024-01-01;Região de Saúde Centro;Unidade Local de Saúde Castelo Branco;4252;1445;188;0;5885
2024-01-01;Região de Saúde Centro;Unidade Local de Saúde da Cova da Beira;3895;1443;295;42;5675
2024-01-01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria;5647;2282;570;0;8499
2024-01-01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria;9577;3752;53;0;13382
2024-01-01;Região de Saúde Norte;Unidade Local de Saúde de Santo António;9644;0;1594;0;11238
2024-01-01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro;14981;2852;475;0;18308
2024-01-01;Região de Saúde Algarve;Unidade Local de Saúde do Algarve;21938;5514;1432;0;28884
2024-01-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alto Alentejo;6586;751;206;0;7543
2024-01-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave;8050;2692;806;0;11548
2024-01-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;11259;1696;536;0;13491
2025-01-01;Região de Saúde Centro;Unidade Local de Saúde Castelo Branco;4412;1477;244;0;6133
2025-01-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;11339;3362;943;0;15644
2025-01-01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria;9687;3786;1153;0;14626
2025-01-01;Região de Saúde Norte;Unidade Local de Saúde de Santo António;9888;0;1303;0;11191
2025-01-01;Região de Saúde LVT;Unidade Local de Saúde de São José;10440;6548;1609;428;19025
2025-01-01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro;16292;2809;415;0;19516
2025-01-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alentejo Central;4224;1655;0;0;5879
2025-01-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave;8376;2426;809;0;11611
2025-01-01;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho;9422;2337;613;0;12372
2025-01-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;8417;1867;367;0;10651
2025-01-01;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa;14093;2879;985;0;17957
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;11014;0;0;0;11014
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;28482;5787;1278;0;35547
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;12520;0;1257;0;13777
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho;20459;6874;1318;0;28651
2024-02-01;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo;12503;8073;1315;0;21891
2024-02-01;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa;22394;5425;1927;0;29746
2025-02-01;Região de Saúde LVT;Hospital de Cascais;13859;7357;2393;130;23739
2025-02-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Aveiro;19008;6871;1114;0;26993
2025-02-01;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal;13742;5792;1653;0;21187
2025-02-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;12191;0;1331;0;13522
2025-02-01;Região de Saúde Norte;Unidade Local de Saúde de Santo António;19272;0;2378;0;21650
2025-02-01;Região de Saúde LVT;Unidade Local de Saúde de São José;20450;12432;3209;889;36980
2025-02-01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro;31332;5440;797;0;37569
2025-02-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;18709;3402;953;0;23064
2025-02-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;15001;0;0;0;15001
2024-03-01;Região de Saúde Centro;Unidade Local de Saúde Castelo Branco;12757;4469;581;0;17807
2024-03-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;17147;0;0;0;17147
2024-03-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;44439;8987;1899;0;55325
2024-03-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;19628;0;1995;0;21623
2024-03-01;Região de Saúde Norte;Unidade Local de Saúde de Santo António;30120;0;4958;0;35078
2024-04-01;Região de Saúde Centro;Unidade Local de Saúde da Cova da Beira;16001;5920;1259;140;23320
2024-04-01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria;25189;10717;2495;0;38401
2024-04-01;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal;29420;13376;5600;0;48396
2024-04-01;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende;17158;5093;0;0;22251
2024-04-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;49293;17482;3775;0;70550
2024-04-01;Região de Saúde Centro;Unidade Local de Saúde de Dão-Lafões;36538;11686;4704;0;52928
2024-04-01;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas;23599;9417;5542;0;38558
2024-04-01;Região de Saúde Norte;Unidade Local de Saúde de São João;55187;28426;4103;0;87716
2024-04-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave;33409;12819;3291;0;49519
2024-04-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;32994;0;0;0;32994
2024-05-01;Região de Saúde Centro;Unidade Local de Saúde Castelo Branco;22478;7819;942;0;31239
2024-05-01;Região de Saúde LVT;Unidade Local de Saúde da Arrábida;30005;13896;3146;0;47047
2024-05-01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria;32171;13720;3181;0;49072
2024-05-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Aveiro;51865;21193;2517;0;75575
2024-05-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;62649;22098;4794;0;89541
2024-05-01;Região de Saúde Centro;Unidade Local de Saúde de Coimbra;83632;30455;9544;0;123631
2024-05-01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria;56892;21521;1311;0;79724
2024-05-01;Região de Saúde Algarve;Unidade Local de Saúde do Algarve;116240;32095;6850;0;155185
2024-05-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Ave;42461;16949;4225;0;63635
2024-05-01;Região de Saúde LVT;Unidade Local de Saúde do Arco Ribeirinho;48827;9399;2934;0;61160
2024-06-01;Região de Saúde Centro;Unidade Local de Saúde Castelo Branco;27154;9249;1173;0;37576
2024-06-01;Região de Saúde LVT;Unidade Local de Saúde da Lezíria;38574;16257;3750;0;58581
2024-06-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Aveiro;62380;24922;3008;0;90310
2024-06-01;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal;45668;20611;7756;0;74035
2024-06-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;75999;26206;5860;0;108065
2024-06-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;83667;16732;3661;0;104060
2024-06-01;Região de Saúde Norte;Unidade Local de Saúde do Tâmega e Sousa;76536;20097;6335;0;102968
2024-07-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;97019;18673;4287;0;119979
2024-07-01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria;81551;28884;2974;0;113409
2024-07-01;Região de Saúde Algarve;Unidade Local de Saúde do Algarve;169148;43983;9437;0;222568
2024-07-01;Região de Saúde Alentejo;Unidade Local de Saúde do Baixo Alentejo;56252;11509;2408;0;70169
2024-07-01;Região de Saúde Centro;Unidade Local de Saúde do Baixo Mondego;30131;12217;0;0;42348
2024-07-01;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave;51258;20683;4142;0;76083
2024-08-01;Região de Saúde Norte;Unidade Local de Saúde da Póvoa de Varzim/Vila do Conde;45147;0;0;0;45147
2024-08-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;102985;32865;7697;0;143547
2024-08-01;Região de Saúde Centro;Unidade Local de Saúde de Dão-Lafões;76871;20519;9939;0;107329
2024-08-01;Região de Saúde Norte;Unidade Local de Saúde de Trás-os-Montes e Alto Douro;133701;21552;3651;0;158904
2024-08-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alentejo Central;30671;12090;0;0;42761
2024-08-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alto Alentejo;54097;6121;1862;0;62080
2024-08-01;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave;58331;22487;4795;0;85613
2024-08-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;71588;0;0;0;71588
2024-08-01;Região de Saúde LVT;Unidade Local de Saúde do Oeste;80210;33446;4202;0;117858
2024-09-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;62016;12120;3015;0;77151
2024-09-01;Região de Saúde Norte;Unidade Local de Saúde de Barcelos/Esposende;39909;10328;0;0;50237
2024-09-01;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas;53599;17838;11069;0;82506
2024-09-01;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho;99458;28850;6150;0;134458
2024-09-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alto Alentejo;60450;6733;2097;0;69280
2024-09-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;77711;0;0;0;77711
2024-10-01;Região de Saúde Centro;Unidade Local de Saúde da Cova da Beira;41889;14191;3347;361;59788
2024-10-01;Região de Saúde Centro;Unidade Local de Saúde da Região de Aveiro;104320;38531;5512;0;148363
2024-10-01;Região de Saúde Centro;Unidade Local de Saúde de Coimbra;169081;56510;19659;0;245250
2024-10-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;134439;24104;6120;0;164663
2024-10-01;Região de Saúde LVT;Unidade Local de Saúde de Santa Maria;115864;39971;6283;0;162118
2024-10-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alto Alentejo;66464;7562;2299;0;76325
2024-10-01;Região de Saúde Centro;Unidade Local de Saúde do Baixo Mondego;43118;16615;0;0;59733
2024-10-01;Região de Saúde Alentejo;Unidade Local de Saúde do Litoral Alentejano;86470;0;0;0;86470
2024-10-01;Região de Saúde Norte;Unidade Local de Saúde do Médio Ave;72272;27445;6074;0;105791
2024-11-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;139876;44969;10596;0;195441
2024-11-01;Região de Saúde Norte;Unidade Local de Saúde de Santo António;116628;0;18644;0;135272
2024-11-01;Região de Saúde Norte;Unidade Local de Saúde de São João;158008;74195;11753;0;243956
2024-11-01;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho;122408;36262;7436;0;166106
2024-11-01;Região de Saúde LVT;Unidade Local de Saúde do Médio Tejo;109995;25518;3898;0;139411
2024-11-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;97228;0;0;0;97228
2024-12-01;Região de Saúde LVT;Unidade Local de Saúde de Almada-Seixal;93031;39139;12095;0;144265
2024-12-01;Região de Saúde Norte;Unidade Local de Saúde de Braga;151911;49962;11613;0;213486
2024-12-01;Região de Saúde Norte;Unidade Local de Saúde de Entre Douro e Vouga;159723;29372;7202;0;196297
2024-12-01;Região de Saúde LVT;Unidade Local de Saúde de Lisboa Ocidental;90951;31349;12294;0;134594
2024-12-01;Região de Saúde LVT;Unidade Local de Saúde de Loures-Odivelas;71102;25125;14154;0;110381
2024-12-01;Região de Saúde LVT;Unidade Local de Saúde de São José;137146;83743;24206;6231;251326
2024-12-01;Região de Saúde Norte;Unidade Local de Saúde de Vila Nova de Gaia/Espinho;133701;40712;8091;0;182504
2024-12-01;Região de Saúde Alentejo;Unidade Local de Saúde do Alentejo Central;47625;17953;0;0;65578
2024-12-01;Região de Saúde LVT;Unidade Local de Saúde do Estuário do Tejo;75072;49244;7852;0;132168
2024-12-01;Região de Saúde LVT;Unidade Local de Saúde do Oeste;118497;51641;6667;0;176805
2019-01-01;Região de Saúde Centro;Centro Hospitalar Universitário Cova da Beira;4375;1744;305;0;6424
2019-01-01;Região de Saúde Centro;Centro Hospitalar de Leiria;12043;3721;1096;0;16860
2019-01-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;17600;6775;2258;0;26633
2019-01-01;Região de Saúde Centro;Unidade Local de Saúde de Castelo Branco;4371;1063;151;0;5585
2019-01-01;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo;9573;3835;852;0;14260
2019-01-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central;11815;7549;1753;490;21607
2019-01-01;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca;15807;5799;1758;0;23364
2019-01-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa;11915;3656;1172;0;16743
2019-01-01;Região de Saúde Norte;Hospital de Braga;12646;4548;1451;0;18645
2019-01-01;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho;11849;2099;538;0;14486
2019-01-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;10312;0;0;0;10312
2019-02-01;Região de Saúde Alentejo;Hospital Espírito Santo de Évora;8945;3890;0;0;12835
2019-02-01;Região de Saúde Centro;Centro Hospitalar de Leiria;22806;6414;2022;0;31242
2019-02-01;Região de Saúde Centro;Centro Hospitalar do Baixo Vouga;21146;7554;1089;0;29789
2019-02-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;33807;12191;4230;0;50228
2019-02-01;Região de Saúde LVT;Centro Hospitalar de Setúbal;14663;7594;2036;0;24293
2019-02-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João;26080;14150;2320;0;42550
2019-02-01;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga;29019;6147;1488;0;36654
2019-02-01;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro;24899;5766;721;0;31386
2019-03-01;Região de Saúde Alentejo;Unidade Local de Saúde do Norte Alentejano;20843;2215;343;0;23401
2019-03-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;51272;17693;6138;0;75103
2019-03-01;Região de Saúde Centro;Centro Hospitalar Tondela-Viseu;26733;8889;3742;0;39364
2019-03-01;Região de Saúde Centro;Unidade Local de Saúde da Guarda;20591;4254;901;0;25746
2019-03-01;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central;34497;20625;5276;1558;61956
2019-03-01;Região de Saúde LVT;Centro Hospitalar de Setúbal;22466;11096;3201;0;36763
2019-03-01;Região de Saúde LVT;Centro Hospitalar do Oeste;30273;13292;2481;0;46046
2019-03-01;Região de Saúde LVT;Hospital Garcia de Orta;25030;12220;4228;0;41478
2019-03-01;Região de Saúde Norte;Hospital de Braga;38024;13550;3991;0;55565
2019-03-01;Região de Saúde Norte;Unidade Local de Saúde do Nordeste;29057;0;0;0;29057
2019-04-01;Região de Saúde Centro;Centro Hospitalar e Universitário de Coimbra;67884;22602;8203;0;98689
2019-04-01;Região de Saúde Centro;Hospital Distrital da Figueira da Foz;17519;6526;0;0;24045
2019-04-01;Região de Saúde Centro;Unidade Local de Saúde de Castelo Branco;17004;3840;567;0;21411
2019-04-01;Região de Saúde LVT;Hospital de Loures;39669;21174;5764;0;66607
2019-04-01;Região de Saúde LVT;Hospital Distrital de Santarém;30476;11835;2869;0;45180
2019-04-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde;24517;0;0;0;24517
2019-04-01;Região de Saúde Norte;Hospital de Braga;50535;17111;5345;0;72991
2019-04-01;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos;25734;0;3440;0;29174
